Група,День,Час,Предмет,Вид,Викладач,Аудиторія,Посилання,Примітка
ІПЗ-13,Четвер,10:30-11:50,Комп'ютерні методи аналізу дискретних об'єктів,Л,Вовна О. В.,,https://meet.google.com/wyr-zbcu-xuw,[03.09]
ІПЗ-14,Четвер,10:30-11:50,Комп'ютерні методи аналізу дискретних об'єктів,Л,Вовна О. В.,,https://meet.google.com/wyr-zbcu-xuw,[03.09]
ІПЗ-11,Четвер,12:10-13:30,Основи програмування,Л,Ковалюк Т. В.,,https://us02web.zoom.us/j/82086830506,[03.09]
ІПЗ-12,Четвер,12:10-13:30,Основи програмування,Л,Ковалюк Т. В.,,https://us02web.zoom.us/j/82086830506,[03.09]
ІПЗ-13,Четвер,12:10-13:30,Основи програмування,Л,Ковалюк Т. В.,,https://us02web.zoom.us/j/82086830506,[03.09]
ІПЗ-14,Четвер,12:10-13:30,Основи програмування,Л,Ковалюк Т. В.,,https://us02web.zoom.us/j/82086830506,[03.09]
ІПЗ-11,Четвер,13:40-15:00,Основи програмної інженерії,Л,Вєчерковська А.С.,,https://teams.microsoft.com/meet/381153169559289?p=lvGDGLtWoUWu5hZnff,[03.09]
ІПЗ-12,Четвер,13:40-15:00,Основи програмної інженерії,Л,Вєчерковська А.С.,,https://teams.microsoft.com/meet/381153169559289?p=lvGDGLtWoUWu5hZnff,[03.09]
ІПЗ-13,Четвер,13:40-15:00,Основи програмної інженерії,Л,Вєчерковська А.С.,,https://teams.microsoft.com/meet/381153169559289?p=lvGDGLtWoUWu5hZnff,[03.09]
ІПЗ-14,Четвер,13:40-15:00,Основи програмної інженерії,Л,Вєчерковська А.С.,,https://teams.microsoft.com/meet/381153169559289?p=lvGDGLtWoUWu5hZnff,[03.09]
ІПЗ-11,П'ятниця,10:30-11:50,Вступ до університетських студій,Л,Чернишевич Олена Володимирівна,,https://us04web.zoom.us/j/71458879336?pwd=4G9SxL8xQ9oFF9N3FRFSHHn2wzhk4p.1,[04.09]
ІПЗ-12,П'ятниця,10:30-11:50,Вступ до університетських студій,Л,Чернишевич Олена Володимирівна,,https://us04web.zoom.us/j/71458879336?pwd=4G9SxL8xQ9oFF9N3FRFSHHn2wzhk4p.1,[04.09]
ІПЗ-13,П'ятниця,10:30-11:50,Вступ до університетських студій,Л,Чернишевич Олена Володимирівна,,https://us04web.zoom.us/j/71458879336?pwd=4G9SxL8xQ9oFF9N3FRFSHHn2wzhk4p.1,[04.09]
ІПЗ-14,П'ятниця,10:30-11:50,Вступ до університетських студій,Л,Чернишевич Олена Володимирівна,,https://us04web.zoom.us/j/71458879336?pwd=4G9SxL8xQ9oFF9N3FRFSHHn2wzhk4p.1,[04.09]
ІПЗ-11,П'ятниця,12:10-13:30,Математичні основи програмної інженерії,Л,Ковтун О. І.,,https://knu-ua.zoom.us/j/81730786449?pwd=XKHcvrUH8WQ5BYEpNKRGb3T6FTff41.1,[04.09]
ІПЗ-12,П'ятниця,12:10-13:30,Математичні основи програмної інженерії,Л,Ковтун О. І.,,https://knu-ua.zoom.us/j/81730786449?pwd=XKHcvrUH8WQ5BYEpNKRGb3T6FTff41.1,[04.09]
ІПЗ-13,П'ятниця,12:10-13:30,Математичні основи програмної інженерії,Л,Ковтун О. І.,,https://knu-ua.zoom.us/j/81730786449?pwd=XKHcvrUH8WQ5BYEpNKRGb3T6FTff41.1,[04.09]
ІПЗ-14,П'ятниця,12:10-13:30,Математичні основи програмної інженерії,Л,Ковтун О. І.,,https://knu-ua.zoom.us/j/81730786449?pwd=XKHcvrUH8WQ5BYEpNKRGb3T6FTff41.1,[04.09]
ІПЗ-11,П'ятниця,13:40-15:00,Архітектура комп'ютера,Л,Вовна О. В.,,https://meet.google.com/naj-hekp-gue,[04.09]
ІПЗ-12,П'ятниця,13:40-15:00,Архітектура комп'ютера,Л,Вовна О. В.,,https://meet.google.com/naj-hekp-gue,[04.09]
ІПЗ-13,П'ятниця,13:40-15:00,Архітектура комп'ютера,Л,Вовна О. В.,,https://meet.google.com/naj-hekp-gue,[04.09]
ІПЗ-14,П'ятниця,13:40-15:00,Архітектура комп'ютера,Л,Вовна О. В.,,https://meet.google.com/naj-hekp-gue,[04.09]
